Date-Time,Open,High,Low,Close,Volume,Ticker_Symbol
2021-02-23,47.5,47.85,47.11,47.34,1476563,HRL
2021-02-22,47.14,47.415,46.39,47.28,2016810,HRL
2021-02-19,47.55,48.09,47.08,47.1,2544432,HRL
2021-02-18,47.0,48.04,46.25,47.49,2201535,HRL
2021-02-17,46.99,47.17,46.41,46.96,3322695,HRL
2021-02-16,48.14,48.19,46.71,47.07,3601834,HRL
2021-02-12,48.3,48.47,47.67,48.24,3261771,HRL
2021-02-11,49.7,49.9,47.66,48.18,3973889,HRL
2021-02-10,49.73,50.08,49.34,49.83,3001227,HRL
2021-02-09,49.95,49.9899,49.35,49.48,2497456,HRL
2021-02-08,49.12,49.83,49.0,49.8,2612804,HRL
2021-02-05,49.18,49.2,48.55,49.06,2301306,HRL
2021-02-04,48.08,49.16,47.67,49.02,4486180,HRL
2021-02-03,48.35,48.52,46.76,47.88,3892845,HRL
2021-02-02,47.01,50.86,46.5,48.75,7649738,HRL
2021-02-01,46.66,47.16,45.98,46.92,3333057,HRL
2021-01-29,48.0,48.87,46.28,46.86,8025948,HRL
2021-01-28,49.96,50.5,47.61,47.96,3757195,HRL
2021-01-27,48.5,50.79,48.45,50.5,5654856,HRL
2021-01-26,47.0,48.76,46.68,48.52,4779851,HRL
2021-01-25,45.41,47.2,45.36,47.04,4178191,HRL
2021-01-22,45.26,45.68,45.1338,45.41,1826643,HRL
2021-01-21,44.62,45.425,44.54,45.25,2257250,HRL
2021-01-20,44.73,45.01,44.47,44.73,2577327,HRL
2021-01-19,45.02,45.13,44.4,44.75,2391455,HRL
2021-01-15,43.98,44.99,43.8884,44.87,6809027,HRL
2021-01-14,44.27,44.285,43.45,43.97,2677656,HRL
2021-01-13,43.7,44.56,43.66,44.01,2695860,HRL
2021-01-12,44.41,44.41,43.54,44.07,3504119,HRL
2021-01-11,45.43,45.66,44.28,44.43,2897108,HRL
2021-01-08,45.62,45.72,44.895,45.44,2171764,HRL
2021-01-07,46.1,46.14,45.45,45.72,1882917,HRL
2021-01-06,45.63,46.3486,45.54,46.07,2258340,HRL
2021-01-05,46.18,46.31,45.52,45.79,2308072,HRL
2021-01-04,46.69,46.74,45.75,46.31,2593425,HRL
2020-12-31,46.54,46.65,45.875,46.61,2257836,HRL
2020-12-30,46.73,46.75,46.4,46.44,903761,HRL
2020-12-29,47.31,47.39,46.49,46.75,1374537,HRL
2020-12-28,47.28,47.43,46.86,47.22,978970,HRL
2020-12-24,47.23,47.2875,46.82,47.17,567325,HRL
2020-12-23,47.17,47.48,47.01,47.34,1145746,HRL
2020-12-22,47.5,47.61,46.92,47.03,1464728,HRL
2021-02-23,353.69,357.56,349.53,356.22,5251055,VOO
2021-02-22,355.84,358.19,355.56,355.77,3231900,VOO
2021-02-19,360.47,360.71,358.14,358.59,2487098,VOO
2021-02-18,358.24,359.93,356.49,359.25,3017068,VOO
2021-02-17,359.03,360.97,357.9222,360.79,3208028,VOO
2021-02-16,362.15,362.37,359.98,360.71,4408452,VOO
2021-02-12,358.45,361.19,358.36,361.05,2144471,VOO
2021-02-11,359.71,360.1,356.8376,359.22,2237200,VOO
2021-02-10,360.53,360.61,356.3,358.64,2388804,VOO
2021-02-09,358.22,359.33,357.77,358.78,1882162,VOO
2021-02-08,357.92,359.07,357.06,359.07,3371070,VOO
2021-02-05,356.9,357.1312,355.316,356.44,2091756,VOO
2021-02-04,352.12,355.04,351.92,355.02,1988342,VOO
2021-02-03,351.7,352.8,349.88,351.09,3392809,VOO
2021-02-02,349.05,352.34,349.0,350.74,2909313,VOO
2021-02-01,343.63,346.85,341.4,345.77,3334009,VOO
2021-01-29,345.31,346.22,338.57,340.18,5803647,VOO
2021-01-28,345.97,351.0707,345.58,347.13,3432188,VOO
2021-01-27,349.54,349.56,341.99,344.24,5010372,VOO
2021-01-26,354.23,354.645,352.6,352.8,2430244,VOO
2021-01-25,352.71,353.6814,347.97,353.33,3548997,VOO
2021-01-22,351.38,353.04,350.99,351.9,1812174,VOO
2021-01-21,353.46,353.835,352.302,353.16,2582562,VOO
2021-01-20,350.32,353.71,349.97,352.83,2920573,VOO
2021-01-19,347.8,348.587,346.36,348.1,3433790,VOO
